ra,endereço,lat,lon
Park Way,"DF 003 (EPIA) - PW, PRÓX. AO COND. ITARARÉ, SENT. PLANO PILOTO",-15.929758,-47.979919
Plano Piloto,"DF 002 (EIXÃO SUL) - BSB, KM 11, PRÓX. À SQS 208, SENT. DECRESCENTE DA RODOVIÁRIA",-15.818619,-47.903144
Park Way,"DF 003 (EPIA) - PW, KM 21.9, PRÓX. À TECAR CONCESSIONÁRIA FIAT, SENT. GAMA/PP",-15.852268,-47.955052
Ceilândia,"DF 180 - CEI, KM 2,4, PRÓX. À BOATE GARRAFÃO",-15.761187,-48.16757
Itapoã,"DF 001 (EPCT) - ITA, ROTATORIA, PRÓX. AO ACESSO DO ITAPOÃ",-15.759344,-47.781024
Planaltina,"DF 230 - PLA, KM 1,5, PLANALTINA",-15.627607,-47.699051
Núcleo Bandeirante,"DF 075 (EPNB), PRÓX. AO COSTA ATACADISTA, SENT. TAGUATINGA",-15.876725,-47.99592
Taguatinga,"DF 001 (PISTÃO NORTE) - TAG, KM 78, PRÓX. À QNA 40",-15.820955,-48.056979
Sobradinho,"DF 150 - SOB, KM 7,6, PRÓX. AO COND. SERRA AZUL Q 34 LT 7, SENT. FERCAL",-15.633513,-47.856116
Lago Sul,"DF 025 (EPDB), KM 11,8, SEMÁFORO DA SHIS QI 12, DE FRENTE AO MORRO DE SALTO DE ASA DELTA, SENT.",-15.836623,-47.866422
Lago Sul,"DF 025 (EPDB), KM 5,8, PRÓX. À SAÍDA DA SHIS QL 4 CONJ 4",-15.851641,-47.91193
Jardim Botânico,"DF 001 (EPCT) - LS (VIA MARGINAL), KM 26,6, RETORNO, PRÓX. AO COND SOLAR DE BRASILIA Q 1",-15.861304,-47.819242
Ceilândia,"DF 190 - CEI, KM 10, ENTRE O BOTECO DO NALDO E A IGREJA BATISTA JIBOIA",-15.895129999999998,-48.246558
Riacho Fundo II,"DF 001 (EPCT) - RFII, KM 69, SENT. PLANO PILOTO",-15.87654,-48.048663
Taguatinga,"DF 001 (PISTÃO NORTE) - TAG, KM 78 ACESSO AO TAGUAPARK",-15.824987,-48.054933
Taguatinga,"DF 001 (PISTÃO SUL) - TAG, KM 75,2, PRÓX. AO BRB, SENT. SUL",-15.847151,-48.043443
Park Way,"DF 079 (EPVP), KM 01, EM FRENTE A IGREJA IMACULADA CORAÇÃO DE MARIA, SENT. VICENTE PIRES",-15.826033,-48.008821
Park Way,"DF 079 (EPVP), KM 01, EM FRENTE A IGREJA IMACULADA CORAÇÃO DE MARIA, SENT. VICENTE PIRES",-15.826033,-48.008821
Gama,"DF 480, KM 0,7, PRÓX. SETOR LESTE Q 47 LT 29, SENT. DECRESCENTE",-15.997,-48.057449999999996
Brazlândia,"DF 180 - BRZ, KM 04, PRÓX. AO GARRAFÃO",-15.774156,-48.168628
Águas Claras,"DF 085 (EPTG) - VP, KM 8,6, PRÓX. À RESIDÊNCIA OFICIAL DO GOVERNADOR DO DF, SENT. VICENTE PIRES",-15.823196,-48.023805
Núcleo Bandeirante,"DF 003 (EPIA) - BSB, KM 22, PRÓX. AO MCDONALDS DO NÚCLEO BANDEIRANTE",-15.851249,-47.955086
Guará,"DF 003 (EPIA) - BSB, KM 20, SENT. CRESCENTE, SMAS TRECHO 1 LT A, PRÓX. AO PARK SHOPPING",-15.831774,-47.952207
Plano Piloto,"DF 004 (VIA L4 SUL) - BSB, 1ª PONTE, PRÓX. AO PIER 21, EM FRENTE DAS EMBAIXADAS",-15.817332,-47.875311
Plano Piloto,"DF 002 (EIXÃO NORTE) - BSB, PRÓX. DAS QUADRAS 204/205 SUL",-15.810746,-47.89351
Sobradinho,"DF 420 - SOB, PRÓX. AO DEPOSITO DE BEBIDAS ALTAS HORAS, CJ C, LT 08, COND MANSOES SOBRADINHO",-15.637582,-47.849552
